Monthly,Beginning balance,Market change,Dividends,Interest,Deposits,Withdrawals,Net advisory fees,Ending balance
Oct-22,"$166,903.60 ","$4,197.49 ",$226.90 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$171,357.36 "
Sep-22,"$147,892.79 ","($9,595.97)",$364.75 ,$0.00 ,"$28,200.00 ",$0.00 ,$0.00 ,"$166,903.60 "
Aug-22,"$150,947.93 ","($3,167.57)",$112.43 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$147,892.79 "
Jul-22,"$140,873.53 ","$9,990.57 ",$54.46 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$150,947.93 "
Jun-22,"$150,977.45 ","($10,435.15)",$331.23 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$140,873.53 "
May-22,"$145,513.27 ",$723.83 ,$15.35 ,$0.00 ,"$4,725.00 ",$0.00 ,$0.00 ,"$150,977.45 "
Apr-22,"$153,247.03 ","($7,734.26)",$0.50 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$145,513.27 "
Mar-22,"$126,448.00 ","$3,031.17 ",$267.86 ,$0.00 ,"$23,500.00 ",$0.00 ,$0.00 ,"$153,247.03 "
Feb-22,"$110,769.60 ","($3,121.68)",$0.08 ,$0.00 ,"$18,800.00 ",$0.00 ,$0.00 ,"$126,448.00 "
Jan-22,"$120,022.38 ","($9,261.75)",$8.97 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$110,769.60 "
Dec-21,"$114,440.32 ","$1,472.89 ","$1,850.26 ",$0.00 ,"$2,250.00 ",$0.00 ,$0.00 ,"$120,022.38 "
Nov-21,"$115,208.99 ",($768.80),$0.13 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$114,440.32 "
Oct-21,"$109,431.96 ","$5,776.91 ",$0.12 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$115,208.99 "
Sep-21,"$114,193.23 ","($5,041.26)",$279.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$109,431.96 "
Aug-21,"$111,610.86 ","$2,582.25 ",$0.12 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$114,193.23 "
Jul-21,"$110,835.67 ",$775.07 ,$0.12 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$111,610.86 "
Jun-21,"$105,574.91 ","$2,676.28 ",$234.48 ,$0.00 ,"$2,350.00 ",$0.00 ,$0.00 ,"$110,835.67 "
May-21,"$104,915.47 ",$659.16 ,$0.28 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$105,574.91 "
Apr-21,"$78,698.49 ","$2,716.84 ",$0.14 ,$0.00 ,"$23,500.00 ",$0.00 ,$0.00 ,"$104,915.47 "
Mar-21,"$75,060.48 ","$2,073.80 ",$124.21 ,$0.00 ,"$1,440.00 ",$0.00 ,$0.00 ,"$78,698.49 "
Feb-21,"$34,780.00 ",$0.00 ,$0.48 ,$0.00 ,"$40,280.00 ",$0.00 ,$0.00 ,"$75,060.48 "
Jan 2021(As of Jan-01-2021),$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$34,780.00 ",$0.00 ,$0.00 ,"$34,780.00 "
Total, , ,"$18,153.06 ",$0.00 ,"$529,816.30 ","$6,087.67 ",$0.00 ,
"Total Dividends, Interest and Market Change(Minus fees)$163,516.92","Total Deposits and Withdrawals$523,728.63",Average total income$327.52,,,,,,
 ,,,,,,,,
"For existing accounts, deposit values for each period represent a total of all of the deposits in the account or portfolio within that same period. Initial deposits for new accounts are",,,,,,,,
"included in the Beginning Balance in the month following the initial deposit (e.g., a deposit made on January 15 would be captured in the Beginning Balance in February). For accounts",,,,,,,,
"opened prior to July 1, 2020, the initial deposit is based on the market value at the beginning of the first full month in cases where the actual amount deposited in the account is",,,,,,,,
"unavailable for reporting. The purchase of foreign currency is treated as a withdrawal from the account, and the sale of foreign currency is treated as a deposit into the account.",,,,,,,,
"Additionally, foreign currency positions are excluded from the total market value and dividends paid in foreign currencies are not reflected in the dividend income. The net advisory",,,,,,,,
"fees are calculated by subtracting the applicable credit amount from the gross advisory fee (or discounted gross advisory fee, as applicable). Please note that your net advisory fee",,,,,,,,
does not include any additional fees and credits or fees associated with the underlying investments held in your account. If you paid your Quarterly Advisory Fee by check or from,,,,,,,,
"funds outside your account, payment is shown as Deposits in Total Deposits/Withdrawals. On summary view, account balance and income details reflect values from the start of the",,,,,,,,
period specified through the previous day's close of business. Accrued interest and accrued dividends represent income to be paid as of the end of the time period represented. Once,,,,,,,,
"paid, these amounts will be shown as interest and dividends. On the detail view, a timeframe selector and frequency options are available to change the investment income details",,,,,,,,
"shown. Interest and dividends for each period are shown. Market Change represents the change in your account due to investment activity, exclusive of interest, dividends, deposits,",,,,,,,,
"and withdrawals. Please note we do not record transactions of deposits and withdrawals, of the same amount, on the same day, within the same account in this experience. To view",,,,,,,,
"activities and orders, please use the following link: https://digital.fidelity.com/ftgw/digital/portfolio/activity. The average total income is based on the time period selected and the",,,,,,,,
time period displays on the top of the card.,,,,,,,,
 ,,,,,,,,
1132521.4.0,,,,,,,,
